start_date,apache_accumulo,apache_dubbo,apache_echarts,apache_maven,apache_spark,apache_superset,flutter,jenkins,mozilla_deepspeech,mozilla_pdf,opencv,react,react_native
2019-01-01,2.0,6.0,2.0,3.0,0.0,7.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0
2019-02-01,2.0,5.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0
2019-03-01,0.0,5.0,2.0,2.0,2.0,3.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0
2019-04-01,4.0,4.0,1.0,0.0,1.0,7.0,4.0,0.0,2.0,1.0,2.0,1.0,5.0
2019-05-01,0.0,5.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0
2019-06-01,0.0,9.0,0.0,2.0,4.0,4.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0
2019-07-01,1.0,15.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,4.0,1.0,2.0
2019-08-01,2.0,7.0,0.0,1.0,4.0,4.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0
2019-09-01,1.0,7.0,1.0,2.0,0.0,4.0,7.0,2.0,0.0,0.0,1.0,6.0,0.0
2019-10-01,1.0,3.0,5.0,3.0,1.0,4.0,7.0,7.0,3.0,3.0,2.0,1.0,1.0
2019-11-01,3.0,6.0,6.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0
2019-12-01,1.0,5.0,2.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0
2020-01-01,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0
2020-02-01,1.0,6.0,2.0,0.0,2.0,0.0,4.0,1.0,4.0,0.0,2.0,2.0,0.0
2020-03-01,0.0,6.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0
2020-04-01,1.0,4.0,2.0,0.0,3.0,2.0,8.0,1.0,7.0,2.0,0.0,2.0,2.0
2020-05-01,0.0,8.0,2.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0
2020-06-01,0.0,5.0,3.0,2.0,3.0,2.0,7.0,1.0,3.0,4.0,2.0,1.0,2.0
2020-07-01,2.0,5.0,3.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0
2020-08-01,2.0,0.0,1.0,2.0,2.0,4.0,10.0,0.0,1.0,2.0,0.0,1.0,3.0
2020-09-01,1.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0
2020-10-01,0.0,2.0,1.0,1.0,2.0,1.0,8.0,2.0,5.0,1.0,0.0,3.0,0.0
2020-11-01,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0
2020-12-01,0.0,4.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-01,3.0,2.0,2.0,1.0,0.0,8.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0
2021-02-01,0.0,1.0,4.0,0.0,2.0,10.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0
2021-03-01,1.0,5.0,1.0,0.0,1.0,4.0,8.0,2.0,0.0,1.0,3.0,0.0,1.0
2021-04-01,4.0,3.0,3.0,1.0,3.0,8.0,8.0,1.0,2.0,0.0,2.0,0.0,1.0
2021-05-01,4.0,5.0,5.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0
2021-06-01,1.0,7.0,2.0,0.0,2.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0
2021-07-01,1.0,9.0,2.0,0.0,2.0,4.0,5.0,0.0,0.0,2.0,1.0,4.0,2.0
2021-08-01,2.0,7.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-09-01,0.0,4.0,2.0,3.0,0.0,9.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
2021-10-01,1.0,4.0,1.0,2.0,1.0,4.0,5.0,6.0,0.0,7.0,0.0,3.0,2.0
2021-11-01,1.0,7.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2021-12-01,1.0,3.0,2.0,2.0,1.0,5.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0
2022-01-01,1.0,3.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,1.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0
2022-03-01,0.0,6.0,4.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-01,3.0,3.0,3.0,0.0,3.0,1.0,5.0,1.0,0.0,1.0,4.0,1.0,0.0
2022-05-01,1.0,6.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,1.0,2.0,1.0
2022-06-01,1.0,6.0,3.0,1.0,1.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
2022-07-01,1.0,7.0,1.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-08-01,0.0,9.0,1.0,0.0,1.0,8.0,7.0,1.0,0.0,1.0,1.0,1.0,4.0
2022-09-01,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0
2022-10-01,0.0,8.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
