,login,start_date,era
0,CatalinVoss,2020-11-03 05:08:03,during
1,DanBmh,2020-02-05 16:41:31,pre
2,GoldschmittGabriel,2020-04-23 12:39:42,during
3,Ideefixze,2021-02-09 12:54:55,during
4,Jemyz,2019-08-25 09:00:49,pre
5,KathyReid,2021-04-20 13:07:18,during
6,Mozilla-GitHub-Standards,2019-03-29 21:58:38,pre
7,NanoNabla,2020-11-10 10:03:27,during
8,NormanTUD,2020-03-22 19:38:12,pre
9,ObliviousParadigm,2020-06-14 10:27:46,during
10,actual-kwarter,2020-10-14 03:44:44,during
11,alchemi5t,2019-07-19 09:05:11,pre
12,areyliu6,2019-05-17 07:36:58,pre
13,bprfh,2019-11-06 10:32:09,pre
14,cahuja1992,2019-05-02 11:36:04,pre
15,cfreemoser,2019-04-28 09:35:51,pre
16,chrillemanden,2020-04-12 13:47:29,during
17,d-a-v,2020-04-25 15:36:55,during
18,dabinat,2020-02-26 19:28:51,pre
19,danieltinazzi,2021-11-17 13:08:53,post
20,danielwinkler,2019-02-19 10:32:07,pre
21,djmitche,2019-11-03 03:50:16,pre
22,dsteinman,2019-02-22 20:00:29,pre
23,dzubke,2021-02-28 20:58:58,during
24,eagledot,2020-06-17 04:32:06,during
25,eggonlea,2019-02-26 01:37:08,pre
26,erksch,2020-07-27 12:31:39,during
27,ftyers,2020-10-21 14:59:54,during
28,gregnr,2020-05-25 03:33:51,during
29,imrahul361,2021-04-19 07:41:18,during
30,imskr,2020-02-23 08:49:41,pre
31,jimregan,2020-04-16 20:43:00,during
32,jorxster,2019-02-21 06:03:25,pre
33,jschueller,2020-04-25 12:12:23,during
34,karansag,2020-07-10 19:23:01,during
35,kristiank,2019-01-25 12:47:51,pre
36,liezl200,2020-10-23 09:06:21,during
37,lnesteroff,2019-10-18 01:46:19,pre
38,lwalejko,2020-04-30 13:16:15,during
39,madprogramer,2020-04-16 12:41:53,during
40,marekjg,2020-06-03 16:02:39,during
41,mdigiorgio,2019-04-09 10:26:37,pre
42,mrstegeman,2020-07-31 20:44:17,during
43,mychiux413,2019-11-29 08:00:16,pre
44,nmstoker,2021-02-25 13:26:11,during
45,olafthiele,2020-09-08 12:23:43,during
46,pbxqdown,2020-07-11 23:01:15,during
47,pietrop,2019-12-04 14:24:03,pre
48,ptitloup,2020-08-20 07:17:48,during
49,qboot,2019-03-03 16:24:26,pre
50,rcgale,2019-08-01 18:16:31,pre
51,rhamnett,2020-02-17 12:22:07,pre
52,ryojiysd,2019-10-23 01:19:26,pre
53,sholtrop,2020-12-07 20:05:42,during
54,stepkillah,2020-10-13 07:25:40,during
55,suriyaa,2020-10-27 10:03:46,during
56,thecodrr,2019-12-11 15:17:00,pre
57,vinhngx,2019-10-01 14:04:10,pre
58,zaptrem,2021-02-12 04:53:06,during
